id,label,available,residence_label,residence_address,residence_city,residence_postal_code,sector_label,lat,lon,area_min,area_max,rent_min,rent_max,occupation_type,adapted_pmr,high_demand,low_stock,url
10,T2,False,Moissy Cramayel - Alfred Sisley,106 rue Bajot 77550 Moissy Cramayel,Moissy Cramayel,77550,SENART_77,48.628,2.589,15.04,15.265,0.0,0.0,,False,False,False,https://trouverunlogement.lescrous.fr/tools/42/accommodations/10
17,T2(Colocation),False,Champs sur Marne - Condorcet,12 Boulevard Newton 77420 CHAMPS SUR MARNE,CHAMPS SUR MARNE,77420,MARNE-LA-VALLEE_77,48.843,2.586,16.5,16.5,0.0,0.0,,False,False,False,https://trouverunlogement.lescrous.fr/tools/42/accommodations/17
18,APT 1,False,XXXX RESIDENCE Jeunes Actifs MOUZAIA,58 bis rue de la Mouzaia,,,Paris,48.863,2.288,14.0,33.0,0.0,0.0,,False,False,False,https://trouverunlogement.lescrous.fr/tools/42/accommodations/18
22,Bastille T1,False,BASTILLE,"151, avenue Ledru Rollin 75011 Paris",Paris,75011,Paris,48.855,2.378,14.6,14.6,0.0,0.0,,False,False,False,https://trouverunlogement.lescrous.fr/tools/42/accommodations/22
23,T2 BIS PROV,False,Orsay-Fleming,"21, rue André Maginot 91400 ORSAY",ORSAY,91400,ORSAY,48.694,2.185,13.39,14.44,0.0,0.0,,False,False,False,https://trouverunlogement.lescrous.fr/tools/42/accommodations/23
26,T2 (Colocation),False,Champs Sur Marne - Montesquieu,7 et 7bis Boulevard Copernic 77420 CHAMPS SUR MARNE,CHAMPS SUR MARNE,77420,MARNE-LA-VALLEE_77,48.842,2.586,17.5,17.5,0.0,0.0,,False,False,False,https://trouverunlogement.lescrous.fr/tools/42/accommodations/26
37,Bercy T1,False,BERCY,244 rue de Bercy 75012 PARIS,PARIS,75012,Paris,48.847,2.369,13.5,26.9,0.0,0.0,,False,False,False,https://trouverunlogement.lescrous.fr/tools/42/accommodations/37
52,T2 (Colocation),False,Epinay Sur Seine,"6, Avenue de la Republique 93800 EPINAY SUR SEINE",EPINAY SUR SEINE,93800,SEINE-SAINT-DENIS_93,48.952,2.318,15.15,17.025,0.0,0.0,,False,False,False,https://trouverunlogement.lescrous.fr/tools/42/accommodations/52
56,Bonaparte T1bis,False,BONAPARTE,"24, rue Bonaparte 75006 PARIS",PARIS,75006,Paris,48.856,2.334,15.0,20.0,0.0,0.0,,False,False,False,https://trouverunlogement.lescrous.fr/tools/42/accommodations/56
60,T1,False,HDB-Charlotte Perriand,"33, Avenue Gallieni 92160 - ANTONY",- ANTONY,92160,HAUTS-DE-BIEVRE,48.761,2.297,17.3,25.5,0.0,0.0,,False,False,False,https://trouverunlogement.lescrous.fr/tools/42/accommodations/60
61,T 1 BIS,False,Cergy-Le Square,"9, square de l'échiquier 95800 Cergy st Christophe",Cergy st Christophe,95800,CERGY,49.048,2.027,18.3,18.3,0.0,0.0,,False,False,False,https://trouverunlogement.lescrous.fr/tools/42/accommodations/61
65,T2 (Colocation),False,Fontainebleau - Raymond Fischesser,3 ter rue de Ferrare 77300 Fontainebleau,Fontainebleau,77300,FONTAINEBLEAU,48.404,2.698,15.33,19.99,0.0,0.0,,False,False,False,https://trouverunlogement.lescrous.fr/tools/42/accommodations/65
69,T 1,False,Evry- Aunettes,1 Impasse de la Predecelle 91000 EVRY,EVRY,91000,EVRY,48.618,2.434,18.42,19.85,0.0,0.0,,False,False,False,https://trouverunlogement.lescrous.fr/tools/42/accommodations/69
73,APT 1,False,XXXX REUILLY,"20 bis rue de reuilly , 75012 Paris",Paris,75012,Paris,48.848,2.386,18.0,19.0,0.0,0.0,,False,False,False,https://trouverunlogement.lescrous.fr/tools/42/accommodations/73
79,Chevaleret T1,False,CHEVALERET,81 bis/ter/quater rue du Chevaleret 75013 Paris,Paris,75013,Paris,48.829,2.376,16.0,33.0,0.0,0.0,,False,False,False,https://trouverunlogement.lescrous.fr/tools/42/accommodations/79
80,T1 C,False,Cergy-Le Square,"9, square de l'échiquier 95800 Cergy st Christophe",Cergy st Christophe,95800,CERGY,49.048,2.027,20.5,20.5,0.0,0.0,,False,False,False,https://trouverunlogement.lescrous.fr/tools/42/accommodations/80
91,Choisy T1,False,CHOISY,120 avenue de Choisy 75013 Paris,Paris,75013,Paris,48.826,2.36,20.0,26.0,0.0,0.0,,False,False,False,https://trouverunlogement.lescrous.fr/tools/42/accommodations/91
101,T1 BIS PROV,False,Cergy-Les Chateaux,QUARTIER ST SYLVERE 95014 CERGY PONTOISE CEDEX,CERGY PONTOISE CEDEX,95014,CERGY,49.031,2.076,12.42,19.31,0.0,0.0,,False,False,False,https://trouverunlogement.lescrous.fr/tools/42/accommodations/101
119,T1 PROV,False,Cergy-Les Chateaux,QUARTIER ST SYLVERE 95014 CERGY PONTOISE CEDEX,CERGY PONTOISE CEDEX,95014,CERGY,49.031,2.076,17.01,24.35,0.0,0.0,,False,False,False,https://trouverunlogement.lescrous.fr/tools/42/accommodations/119
137,Seyrig T1,False,DELPHINE SEYRIG,7 à 15 Rue Delphine Seyrig - 75019 PARIS,PARIS,75019,Paris,48.894,2.398,20.0,25.0,0.0,0.0,,False,False,False,https://trouverunlogement.lescrous.fr/tools/42/accommodations/137
143,T2 (Colocation),False,Mail des Meches,1 Rue de la Porte des Champs 94000 Créteil,Créteil,94000,CRETEIL,48.788,2.45,16.94,17.03,0.0,0.0,,False,False,False,https://trouverunlogement.lescrous.fr/tools/42/accommodations/143
144,T1,False,Résidence Les Carreaux,"10 bis, rue des Carreaux 62200 BOULOGNE-SUR-MER",BOULOGNE-SUR-MER,62200,Boulogne-sur-Mer,50.725,1.608,24.16,24.16,0.0,0.0,,False,False,False,https://trouverunlogement.lescrous.fr/tools/42/accommodations/144
152,ALESIA T1,False,ALESIA,80 RUE DE LA TOMBE ISSOIRE 75014 PARIS,PARIS,75014,Paris,48.828,2.333,16.7,18.7,0.0,0.0,,False,False,False,https://trouverunlogement.lescrous.fr/tools/42/accommodations/152
